Tch Category,Tch element,"János Domján
(1839)","Rajmund Sebetic
(1877/1903) + 1886",Murz Frigyes (1890),"Samu Chappon
(1891 / 1911)","Károly Chappon
(1893)","Arlow_Litomysky
(1894)","Gusztáv Arlow
(1902)","Károly Leszák
(1906)"
Holding the sabre,Holding the sabre,HUN,ITA,,HUN,HUN,HUN,ITA,
Dominant movement type,,probably wrist movements (not defined exactly),wrist,,wrist,wrist,,,
Distances,Complete distance,-,Complete distance,,"""Távol""","""Nagy távolság""",,*„rendes vagy nagy távolság”,
Distances,Half distance,"-*not defined, but this is the distance you stand up when doing the so-called ""mesuring"" (mérés)",Half distance,,"""Közép""","""Rendes távolság""",,*középtávolság,
Distances,Closed distance,-,Closed distance,,"""Zárt""",,,*zárt távolság,
Hand positions,Edge upward,"Pos. 4 *not exactly upward, tilted to right appr. 15°",-,,,*felfelé,,*1. kézállás,
Hand positions,Edge to the right,"Pos. 2 *not exactly to the right, tilted to right appr. 15°",Oldal,,,*kifelé,,*2. kézállás,
Hand positions,Edge downward,"Pos. 1 *not exactly downward, tilted to right appr. 15°",Első,,,*lefelé,,*3. kézállás,
Hand positions,Edge to the left,"Pos. 3 *not exactly to the left, tilted to right appr. 15°",Mell,,,*befelé,,*4. kézállás,
Hand positions,Edge downward left,-,Negyed,,,,,*¾ kézállás,
Hand positions,Edge downward right,-,Harmad,,,,,*2/3 kézállás,
Hand positions,Edge upward left,-,Kör,,,,,*4/1 kézállás,
Hand positions,Edge upward right,-,Másod,,,,,*1/2 kézállás,
Standings (body and feet),Fencing Standing (basic),"En garde (""vívóállás"")","""Víállás"" (Standing in high second guard)",,"""vívó-állás""","""ví-állás""",,"*vívóállás, garde gardia",
Standings (body and feet),Straight standing 1,"""Egyenes állás""","""Arczállás""",,,"""Egyenes állás""",,Felállás,
Standings (body and feet),Straight standing 2,,-,,,,,,
Standings (body and feet),Greeting,*Köszöntés,Kis- és Nagy tisztelgés,,,,,"*tisztelgés (salut, saluto)",
Binding,Binding,-,,,,*kard lefogása (nem teljesen ugyanaz),"""Liement""","*kardkötés, kötés, liement, legamento",
Guards,Terz,Hand in Pos. 2,-,,,"*külső alsó kiállás (hasonlít még a külső kiállás is, de kevésbé) ChapponKárolynál minden állás nagyon fent van. Alapfunkció a tercnek és szekondnak felel meg, de kivitelezés tekintetében inkább magas terc és magas szekond szerű dolgok",,"""Terc""",
Guards,Second,Hand in Pos. 4,-,,,*felső kiállás,,"""Second""",
Guards,High terz,-,-,,-,-,"""Hoch-Tierce-Auslage""",-,
Foorwork,Appel,"""Jel (Appel)""","""Dobbantás (Appell)""",,"""Toppantás""","""Dobbantás""","""Appell""",*jel(appell),
Foorwork,Double appel,-,-,,-,-,"""Doppel-Appell""",,
Foorwork,Step backward,"""Hátrálás (Rompier)""","""Hátrálás""",,"""Hátra (Rompre)""",,"""Schritt rückwärts""",,
Foorwork,Full step foward,-,-,,-,"-*nem írja le lábmunkaként, de említi: az ellenfél lerohanása","""Volte vorwärts""",,
Foorwork,Step forward,"""Léptetés (Avanche)""","""Előhaladás (Avance)""",,"""Előre (Marche)""","""Előremenés""","""Schritt vorwärts""","* Előre-lépés (passe en avant, passo avanti)",
Foorwork,Backstep,"not describet but displayed, part of some parries, e.g. against ha head cut * (szerintem az a képen egy jobblábhátrahúzás, nem hátralépés, lásd Domján 41. oldal, fejvédés-nél)","""Visszalépés""",,,"""Visszamenés""",,"*Hátra-lépés (passe en arriére, passo indietro)",
Foorwork,Full step backward,-,-,,-,-,"""Mit Volte retirieren""","*Kettős hátra-lépés (pár volté romper, doppio passo indietro)",
Foorwork,Lunge,"""Kitörés / rohanás (Ausfall)""","""Kitörés""",,"""Kirohanás (Ausfall)""","""Kitörés""","""Ausfall""",*Kitörés (allonge),
Foorwork,Swinging in Lunge,-,-,,-,-,"""Swingen (im Ausfall)""",,
Foorwork,Lunge backward,-,"""Kitörés hátrafelé""",,-,*-,"""Ausfall rückwärts""",*Hátra-kitörésnél,
Foorwork,Double Lunge,-,-,,-,-,"""Doppelter Ausfall""","*ismételt kitörés (redoublement, raddoppio)",
Foorwork,Half Lunge,"""Kilépés előre""",-,,-,"""Félkitörés""",,*-,
Foorwork,Jump backward,-,"""Ugrás hátrafelé""",,,*-,"""Sprung rückwärts""",*A hátra-ugrás (salto indietro),
Foorwork,Pulling the right foot back,"*amit a backstep-hez írtál, az szerintem inkább ez lehet. (domján 41. oldal, fejvédés)",,,"""Visszalépés""","""Jobblábhátrahuzás""",,"*-(hasonló célt szolgál a kitérés, de Arlow csak a kezét húzza be, a lábát nem)",
Bodywork,Leaning forward,-,"""Előrehajlás""",,,*-,,*-,
Bodywork,Leaning backward,-,"""Hátrahajlás""",,,*-,,*-,
